List of Items,,,,,
Name,Sale Price-B,Sale Price,Description 1,Alias,Print Name
7MM Nut Driver,180.00,180.00,16550,,7MM Nut Driver
7MM T Type Spanners,60.00,60.00,16135,,7MM T Type Spanners
8 ft BPBP Srk brass nut,140.00,135.00,,,8 ft BPBP Srk brass nut
8 ft BPBP Srk ms nut,130.00,125.00,,,8 ft BPBP Srk ms nut
8 ft BPCP Srk brass nut,152.00,147.00,,,8 ft BPCP Srk brass nut
8 ft CPCP Srk brass nut,165.00,160.00,,,8 ft CPCP Srk brass nut
8 ft Gsr pipe H,149.00,144.00,35650,8 ft Geyser pipe H,8 ft Geyser pipe H
8 ft hy blk BPBP,195.00,187.00,,8 ft Hydrolic black BPBP,8 ft Hydrolic black BPBP
8 ft hy blk BPCP,207.00,200.00,,8 ft hydrolic black BPCP,8 ft hydrolic black BPCP
8 ft hy blk CPCP,220.00,210.00,,8 ft hydrolic black CPCP,8 ft hydrolic black CPCP
8 ft hy o BPBP,195.00,187.00,,8 ft Hydrolic orange BPBP,8 ft Hydrolic orange BPBP
8 ft hy o BPCP,207.00,200.00,,8 ft hydrolic orange BPCP,8 ft hydrolic orange BPCP
8 ft hy o CPCP,220.00,210.00,,8 ft hydrolic orange CPCP,8 ft hydrolic orange CPCP
8 Inch Sealing Machine Coil,22.00,20.00,,8 Sm Coil,8 Inch Sealing Machine Coil
8*9 Tuber,0.00,45.00,,,8*9 Tuber
